customer_id,age,tenure_months,monthly_charges,service_type,payment_method,contract_type,tech_support,internet_service,churn
CUST0030,40,32.0,48.82,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0031,28,33.0,93.49,Basic,Credit Card,Month-to-month,Yes,None,0
CUST0032,35,17.0,40.24,Standard,Bank Transfer,One year,Yes,DSL,1
CUST0033,41,7.0,89.48,Standard,Electronic Check,Two year,No,DSL,1
CUST0034,48,40.0,106.07,Premium,Electronic Check,Two year,Yes,DSL,0
CUST0035,71,64.0,33.21,Premium,Bank Transfer,Month-to-month,Yes,Fiber,0
CUST0036,49,5.0,81.44,Basic,Credit Card,Month-to-month,No,Fiber,1
CUST0037,40,62.0,29.51,Premium,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0038,56,60.0,92.57,Basic,Electronic Check,One year,No,None,0
CUST0039,62,20.0,28.45,Premium,Electronic Check,One year,No,DSL,1
CUST0040,42,46.0,113.59,Basic,Credit Card,Two year,No,Fiber,1
CUST0041,46,12.0,33.74,Basic,Electronic Check,Two year,Yes,DSL,1
CUST0042,30,55.0,115.89,Premium,Bank Transfer,Month-to-month,No,None,1
CUST0043,68,51.0,100.09,Basic,Credit Card,One year,Yes,DSL,1
CUST0044,68,26.0,79.37,Standard,Bank Transfer,Two year,No,DSL,1
CUST0045,28,5.0,98.26,Standard,Credit Card,Month-to-month,No,Fiber,1
CUST0046,38,70.0,99.51,Basic,Credit Card,Two year,No,Fiber,1
CUST0047,33,33.0,114.6,Standard,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0048,71,65.0,45.34,Premium,Electronic Check,Two year,Yes,Fiber,0
CUST0049,21,49.0,79.01,Premium,Credit Card,One year,No,Fiber,1
CUST0050,30,57.0,29.5,Basic,Credit Card,Month-to-month,Yes,Fiber,0
CUST0051,36,55.0,81.62,Standard,Bank Transfer,One year,Yes,DSL,1
CUST0052,50,15.0,37.13,Basic,Credit Card,Month-to-month,No,DSL,1
CUST0053,32,27.0,76.5,Basic,Credit Card,One year,No,DSL,1
CUST0054,49,34.0,77.24,Basic,Credit Card,One year,Yes,DSL,1
CUST0055,61,36.0,66.6,Premium,Bank Transfer,One year,No,Fiber,0
CUST0056,66,4.0,72.26,Premium,Electronic Check,Two year,No,Fiber,1
CUST0057,23,40.0,96.39,Premium,Mailed Check,Month-to-month,No,Fiber,1
CUST0058,26,12.0,99.92,Standard,Credit Card,Month-to-month,No,Fiber,1
CUST0059,23,54.0,69.22,Standard,Electronic Check,Month-to-month,No,Fiber,0
CUST0060,70,50.0,79.96,Standard,Mailed Check,Month-to-month,No,Fiber,1
CUST0061,55,67.0,113.12,Standard,Mailed Check,Month-to-month,No,DSL,0
CUST0062,48,54.0,31.97,Standard,Electronic Check,Month-to-month,No,DSL,0
CUST0063,63,27.0,31.71,Basic,Mailed Check,Month-to-month,Yes,Fiber,1
CUST0064,51,70.0,28.77,Basic,Mailed Check,Month-to-month,Yes,Fiber,1
CUST0065,31,30.0,85.79,Premium,Electronic Check,Two year,Yes,DSL,1
CUST0066,47,24.0,61.86,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0067,58,66.0,97.43,Premium,Bank Transfer,Two year,No,Fiber,0
CUST0068,20,27.0,87.12,Basic,Bank Transfer,Month-to-month,No,Fiber,1
CUST0069,53,6.0,53.36,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0070,46,34.0,109.84,Basic,Credit Card,Month-to-month,No,Fiber,1
CUST0071,22,58.0,96.25,Basic,Credit Card,Month-to-month,Yes,None,0
CUST0072,33,14.0,47.05,Basic,Electronic Check,Month-to-month,No,DSL,1
CUST0073,44,34.0,56.42,Basic,Electronic Check,Month-to-month,No,None,1
CUST0074,37,10.0,51.44,Premium,Electronic Check,Month-to-month,Yes,DSL,1
CUST0075,34,50.0,35.76,Basic,,Month-to-month,No,Fiber,1
CUST0076,55,35.0,34.78,Standard,Bank Transfer,One year,No,Fiber,1
CUST0077,41,24.0,113.61,Standard,Electronic Check,Month-to-month,No,DSL,1
CUST0078,46,17.0,63.79,Standard,Electronic Check,Two year,No,None,0
CUST0079,64,41.0,58.33,Standard,Mailed Check,Month-to-month,Yes,Fiber,1
CUST0080,23,49.0,92.97,Basic,Mailed Check,Two year,Yes,None,0
CUST0081,38,68.0,75.3,Premium,Mailed Check,One year,Yes,DSL,0
CUST0082,22,32.0,113.61,Premium,Credit Card,Two year,Yes,None,1
CUST0083,71,12.0,98.03,Standard,Credit Card,Two year,No,None,1
CUST0084,28,60.0,67.94,Standard,Credit Card,Month-to-month,No,Fiber,1
CUST0085,65,46.0,57.64,Basic,Electronic Check,Month-to-month,Yes,DSL,0
CUST0086,29,51.0,118.66,Premium,Mailed Check,Month-to-month,No,Fiber,1
CUST0087,36,8.0,91.78,Basic,Credit Card,Two year,No,Fiber,1
CUST0088,53,23.0,115.12,Basic,Electronic Check,One year,No,None,1
CUST0089,66,56.0,31.85,Basic,Credit Card,Month-to-month,No,Fiber,0
CUST0090,28,60.0,105.05,Premium,Bank Transfer,Two year,No,DSL,0
CUST0091,30,32.0,83.71,Standard,Bank Transfer,Month-to-month,No,DSL,1
CUST0092,69,58.0,32.19,Premium,Bank Transfer,One year,Yes,Fiber,0
CUST0093,36,61.0,78.83,Premium,Mailed Check,One year,No,None,1
CUST0094,30,28.0,88.61,Basic,Credit Card,Month-to-month,No,DSL,1
CUST0095,61,65.0,21.23,Premium,Electronic Check,One year,No,Fiber,1
CUST0096,23,21.0,65.43,Standard,Electronic Check,Two year,No,None,1
CUST0097,68,18.0,102.54,Standard,Bank Transfer,Month-to-month,No,DSL,1
CUST0098,68,50.0,49.54,Basic,Bank Transfer,Month-to-month,No,DSL,1
CUST0099,67,46.0,65.85,Premium,Electronic Check,Month-to-month,No,Fiber,1
CUST0100,35,11.0,64.23,Basic,Credit Card,One year,No,Fiber,1
CUST0101,24,60.0,50.19,Basic,Mailed Check,Month-to-month,No,DSL,1
CUST0102,42,15.0,111.84,Standard,Bank Transfer,Two year,No,None,1
CUST0103,37,58.0,98.13,Basic,Electronic Check,Two year,Yes,Fiber,0
CUST0104,73,1.0,31.06,Basic,Electronic Check,Month-to-month,No,None,1
CUST0105,54,58.0,119.7,Standard,Bank Transfer,Month-to-month,Yes,None,1
CUST0106,72,57.0,107.92,Standard,Credit Card,One year,Yes,None,1
CUST0107,61,57.0,48.39,Premium,Mailed Check,One year,Yes,Fiber,0
CUST0108,59,48.0,103.69,Basic,Credit Card,Month-to-month,No,DSL,1
CUST0109,24,34.0,30.64,Standard,Credit Card,Month-to-month,Yes,Fiber,0
CUST0110,21,51.0,119.91,Standard,Credit Card,Month-to-month,Yes,DSL,1
CUST0111,20,20.0,86.57,Standard,Credit Card,Two year,Yes,Fiber,1
CUST0112,52,57.0,85.01,Standard,Electronic Check,Month-to-month,No,DSL,1
CUST0113,29,41.0,29.04,Standard,Electronic Check,Two year,No,Fiber,1
CUST0114,75,34.0,109.7,Premium,Credit Card,Month-to-month,Yes,DSL,1
CUST0115,25,37.0,22.9,Basic,Electronic Check,Two year,Yes,DSL,1
CUST0116,72,41.0,44.08,Basic,Bank Transfer,Month-to-month,No,DSL,1
CUST0117,56,3.0,34.3,Standard,Bank Transfer,Month-to-month,Yes,Fiber,0
CUST0118,24,11.0,97.68,Premium,Electronic Check,Two year,No,Fiber,1
CUST0119,21,18.0,39.82,Basic,Mailed Check,Two year,No,DSL,0
CUST0120,40,9.0,111.06,Standard,Bank Transfer,Month-to-month,No,None,1
CUST0121,37,32.0,85.63,Premium,Bank Transfer,Month-to-month,Yes,None,1
CUST0122,36,49.0,23.62,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0123,48,48.0,20.54,Premium,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0124,25,34.0,25.17,Standard,Bank Transfer,Month-to-month,No,Fiber,1
CUST0125,25,62.0,80.59,Standard,Credit Card,Two year,No,DSL,0
CUST0126,58,41.0,100.15,Basic,Electronic Check,Month-to-month,No,Fiber,1
CUST0127,75,6.0,43.86,Premium,Credit Card,One year,No,DSL,1
CUST0128,33,56.0,104.94,Standard,Bank Transfer,Month-to-month,Yes,None,1
CUST0129,72,42.0,25.72,Standard,Bank Transfer,Month-to-month,No,None,0
CUST0130,38,46.0,100.1,Standard,Credit Card,One year,No,None,0
CUST0131,37,41.0,112.78,Standard,Credit Card,Month-to-month,Yes,Fiber,1
CUST0132,23,40.0,97.21,Standard,Mailed Check,One year,No,Fiber,0
CUST0133,42,7.0,89.81,Standard,Electronic Check,Month-to-month,No,None,1
CUST0134,46,41.0,103.8,Premium,Electronic Check,Two year,No,DSL,1
CUST0135,56,58.0,24.02,Standard,Mailed Check,One year,No,DSL,1
CUST0136,27,22.0,40.18,Standard,Credit Card,Two year,No,Fiber,1
CUST0137,28,44.0,32.49,Basic,Credit Card,Month-to-month,No,DSL,1
CUST0138,43,3.0,70.45,Standard,Mailed Check,Month-to-month,Yes,DSL,1
CUST0139,22,26.0,94.52,Standard,Bank Transfer,Month-to-month,No,DSL,1
CUST0140,26,32.0,83.0,Basic,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0141,54,71.0,105.11,Basic,Electronic Check,Month-to-month,No,DSL,1
CUST0142,73,16.0,35.52,Standard,Bank Transfer,Month-to-month,No,DSL,1
CUST0143,51,20.0,93.46,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0144,26,30.0,39.3,Standard,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0145,75,72.0,47.08,Basic,Bank Transfer,Month-to-month,Yes,None,1
CUST0146,48,62.0,90.99,Basic,Credit Card,Month-to-month,No,DSL,0
CUST0147,59,3.0,118.02,Basic,Credit Card,Month-to-month,Yes,Fiber,1
CUST0148,29,17.0,81.15,Premium,Electronic Check,One year,Yes,Fiber,1
CUST0149,51,60.0,25.45,Premium,Mailed Check,Month-to-month,No,DSL,0
CUST0150,22,5.0,81.63,Basic,Electronic Check,Month-to-month,No,None,1
CUST0151,54,62.0,24.24,Standard,Credit Card,Month-to-month,No,Fiber,1
CUST0152,29,21.0,108.41,Basic,Credit Card,One year,No,Fiber,1
CUST0153,70,67.0,90.96,Basic,Credit Card,Month-to-month,No,DSL,1
CUST0154,21,22.0,37.31,Basic,Bank Transfer,One year,Yes,DSL,1
CUST0155,55,32.0,29.17,Basic,Mailed Check,Two year,No,None,0
CUST0156,26,48.0,38.35,Standard,Credit Card,Month-to-month,No,Fiber,1
CUST0157,57,10.0,118.0,Premium,Bank Transfer,Two year,No,None,0
CUST0158,46,41.0,65.86,Basic,Electronic Check,One year,No,None,1
CUST0159,74,37.0,98.41,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0160,55,57.0,83.64,Standard,Bank Transfer,Month-to-month,No,Fiber,1
CUST0161,39,72.0,77.24,Premium,Bank Transfer,One year,No,Fiber,0
CUST0162,23,48.0,34.51,Standard,Electronic Check,Two year,No,Fiber,1
CUST0163,52,30.0,114.6,Basic,Electronic Check,Month-to-month,Yes,DSL,1
CUST0164,43,30.0,50.13,Standard,Bank Transfer,Month-to-month,Yes,DSL,0
CUST0165,21,31.0,77.8,Basic,Mailed Check,One year,No,Fiber,1
CUST0166,51,59.0,89.98,Premium,Mailed Check,Month-to-month,Yes,Fiber,1
CUST0167,30,24.0,84.92,Standard,Electronic Check,One year,No,Fiber,1
CUST0168,31,13.0,114.06,Standard,Bank Transfer,Month-to-month,No,DSL,1
CUST0169,18,25.0,34.84,Basic,Bank Transfer,One year,No,DSL,1
CUST0170,39,2.0,70.84,Standard,Mailed Check,Two year,Yes,None,1
CUST0171,30,8.0,60.4,Premium,Credit Card,One year,No,Fiber,1
CUST0172,22,7.0,67.42,Standard,Electronic Check,One year,No,Fiber,1
CUST0173,43,56.0,31.92,Standard,Electronic Check,One year,Yes,Fiber,0
CUST0174,30,53.0,33.41,Premium,Bank Transfer,Two year,Yes,Fiber,0
CUST0175,25,51.0,47.81,Premium,Electronic Check,Two year,Yes,Fiber,0
CUST0176,45,34.0,50.47,Basic,Mailed Check,Month-to-month,Yes,Fiber,1
CUST0177,21,52.0,62.79,Standard,Electronic Check,One year,Yes,None,0
CUST0178,75,12.0,81.1,Standard,Credit Card,Month-to-month,No,None,1
CUST0179,45,65.0,83.46,Standard,Mailed Check,Two year,No,None,1
CUST0180,75,37.0,61.18,Basic,Credit Card,One year,Yes,Fiber,1
CUST0181,69,68.0,60.88,Basic,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0182,74,11.0,41.76,Premium,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0183,49,36.0,78.83,Premium,Electronic Check,Month-to-month,No,None,1
CUST0184,42,51.0,51.7,Premium,Credit Card,One year,Yes,Fiber,1
CUST0185,59,36.0,23.61,Premium,Bank Transfer,Month-to-month,No,Fiber,0
CUST0186,22,33.0,61.84,Standard,Bank Transfer,Month-to-month,Yes,Fiber,0
CUST0187,66,12.0,67.41,Premium,Credit Card,Two year,Yes,Fiber,1
CUST0188,36,28.0,42.56,Premium,Credit Card,One year,No,Fiber,1
CUST0189,18,,77.25,Standard,Electronic Check,Month-to-month,Yes,DSL,1
CUST0190,31,22.0,76.58,Standard,Credit Card,Month-to-month,Yes,Fiber,1
CUST0191,32,50.0,90.2,Basic,Electronic Check,Two year,Yes,Fiber,1
CUST0192,18,46.0,84.79,Standard,Mailed Check,One year,No,DSL,0
CUST0193,56,44.0,85.24,Basic,Bank Transfer,One year,No,None,1
CUST0194,23,27.0,51.62,Basic,Electronic Check,Month-to-month,No,Fiber,1
CUST0195,67,70.0,98.74,Standard,Electronic Check,Month-to-month,No,DSL,1
CUST0196,44,7.0,74.91,Standard,Credit Card,Month-to-month,Yes,None,1
CUST0197,59,25.0,63.14,Basic,Bank Transfer,One year,No,Fiber,1
CUST0198,37,9.0,82.6,Premium,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0199,25,25.0,56.07,Premium,Mailed Check,Month-to-month,No,Fiber,1
CUST0200,28,70.0,71.27,Basic,Electronic Check,One year,No,None,0
CUST0201,55,27.0,93.67,Basic,Mailed Check,Two year,No,Fiber,1
CUST0202,59,66.0,108.64,Basic,Mailed Check,One year,No,Fiber,1
CUST0203,33,36.0,112.11,Premium,Credit Card,Month-to-month,Yes,DSL,1
CUST0204,38,51.0,70.36,Premium,Electronic Check,Month-to-month,No,Fiber,1
CUST0205,72,33.0,72.03,Basic,Credit Card,Month-to-month,No,Fiber,1
CUST0206,67,20.0,99.99,Premium,Mailed Check,Month-to-month,No,Fiber,1
CUST0207,41,56.0,51.45,Basic,Bank Transfer,Month-to-month,No,Fiber,0
CUST0208,31,70.0,103.74,Standard,Credit Card,Month-to-month,Yes,None,1
CUST0209,35,19.0,69.41,Premium,Mailed Check,One year,No,Fiber,1
CUST0210,49,57.0,31.59,Basic,Credit Card,Two year,No,DSL,0
CUST0211,50,19.0,27.21,Basic,Electronic Check,Two year,No,None,1
CUST0212,28,52.0,104.2,Standard,Credit Card,Month-to-month,Yes,Fiber,1
CUST0213,21,57.0,25.56,Standard,Mailed Check,Month-to-month,No,None,0
CUST0214,46,33.0,48.06,Premium,Mailed Check,Month-to-month,No,None,1
CUST0215,64,54.0,53.41,Premium,Credit Card,Month-to-month,No,None,1
CUST0216,26,20.0,37.3,Basic,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0217,41,6.0,51.39,Basic,Credit Card,Month-to-month,Yes,Fiber,1
CUST0218,27,7.0,94.27,Premium,Electronic Check,One year,No,DSL,1
CUST0219,32,33.0,21.47,Basic,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0220,53,65.0,102.72,Premium,Electronic Check,Two year,No,Fiber,1
CUST0221,34,10.0,105.65,Standard,Bank Transfer,Month-to-month,No,Fiber,1
CUST0222,33,33.0,57.23,Basic,Bank Transfer,Month-to-month,Yes,None,1
CUST0223,75,51.0,35.36,Premium,Electronic Check,Month-to-month,Yes,DSL,1
CUST0224,27,15.0,80.08,Basic,Electronic Check,Month-to-month,No,Fiber,1
CUST0225,28,52.0,31.97,Standard,Credit Card,Month-to-month,Yes,Fiber,1
CUST0226,71,23.0,56.49,Standard,Bank Transfer,Two year,No,Fiber,1
CUST0227,49,59.0,115.84,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0228,20,42.0,119.55,Standard,Mailed Check,Month-to-month,No,DSL,1
CUST0229,42,40.0,97.21,Standard,Bank Transfer,One year,No,None,1
CUST0230,50,13.0,51.1,Premium,Credit Card,Month-to-month,No,Fiber,1
CUST0231,32,34.0,88.77,Premium,Mailed Check,One year,No,DSL,1
CUST0232,49,62.0,90.54,Standard,Bank Transfer,Month-to-month,Yes,DSL,0
CUST0233,55,2.0,58.78,Basic,Electronic Check,Two year,No,Fiber,1
CUST0234,32,55.0,84.09,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0235,65,36.0,21.07,Premium,Mailed Check,Month-to-month,No,Fiber,1
CUST0236,44,52.0,40.91,Basic,Electronic Check,One year,No,Fiber,1
CUST0237,73,48.0,72.51,Standard,Mailed Check,Two year,Yes,DSL,1
CUST0238,23,32.0,36.38,Standard,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0239,36,23.0,36.59,Basic,Credit Card,One year,Yes,DSL,1
CUST0240,59,46.0,103.63,Standard,Electronic Check,Month-to-month,Yes,DSL,1
CUST0241,69,11.0,118.91,Standard,Bank Transfer,Month-to-month,No,None,1
CUST0242,30,43.0,75.6,Premium,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0243,74,7.0,103.91,Premium,Bank Transfer,One year,No,None,1
CUST0244,29,47.0,119.03,Premium,Mailed Check,Month-to-month,Yes,DSL,0
CUST0245,42,46.0,34.16,Standard,Electronic Check,One year,Yes,DSL,1
CUST0246,36,7.0,64.82,Basic,Electronic Check,Month-to-month,No,Fiber,1
CUST0247,42,55.0,59.26,Standard,Electronic Check,Two year,Yes,Fiber,0
CUST0248,70,30.0,28.0,Premium,Credit Card,Two year,No,None,1
CUST0249,60,57.0,95.53,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0250,64,3.0,63.38,Premium,Credit Card,Month-to-month,No,None,1
CUST0251,32,13.0,66.93,Basic,Electronic Check,Month-to-month,Yes,None,1
CUST0252,72,36.0,35.07,Premium,Bank Transfer,Two year,No,Fiber,0
CUST0253,43,14.0,38.09,Basic,Mailed Check,Month-to-month,Yes,DSL,1
CUST0254,55,24.0,110.71,Basic,Electronic Check,Month-to-month,No,Fiber,1
CUST0255,58,48.0,24.46,Standard,Credit Card,Month-to-month,No,DSL,1
CUST0256,56,11.0,43.29,Basic,Electronic Check,One year,Yes,Fiber,1
CUST0257,52,49.0,49.21,Basic,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0258,45,8.0,69.02,Basic,Mailed Check,Month-to-month,Yes,None,1
CUST0259,55,13.0,78.64,Standard,Mailed Check,Two year,Yes,Fiber,1
CUST0260,70,43.0,69.33,Premium,Mailed Check,Month-to-month,No,Fiber,1
CUST0261,40,58.0,28.41,Basic,Credit Card,Two year,No,Fiber,0
CUST0262,47,13.0,44.37,Standard,Bank Transfer,Month-to-month,No,Fiber,1
CUST0263,28,22.0,104.36,Premium,Bank Transfer,Month-to-month,Yes,None,1
CUST0264,38,67.0,83.76,Basic,Bank Transfer,Two year,No,DSL,1
CUST0265,62,72.0,84.91,Basic,Bank Transfer,One year,Yes,None,0
CUST0266,55,42.0,87.02,Premium,Bank Transfer,One year,No,None,1
CUST0267,30,33.0,96.29,Premium,Mailed Check,Month-to-month,Yes,None,1
CUST0268,49,25.0,25.81,Standard,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0269,65,45.0,56.66,Premium,Bank Transfer,Month-to-month,No,None,0
CUST0270,25,43.0,73.95,Basic,Electronic Check,Month-to-month,Yes,DSL,1
CUST0271,21,22.0,53.85,Standard,Electronic Check,Month-to-month,No,Fiber,1
CUST0272,40,2.0,104.45,Standard,Electronic Check,Month-to-month,No,DSL,1
CUST0273,56,11.0,68.26,Basic,Electronic Check,Month-to-month,Yes,DSL,1
CUST0274,36,70.0,96.86,Premium,Mailed Check,Month-to-month,No,Fiber,1
CUST0275,65,31.0,105.2,Standard,Electronic Check,Month-to-month,No,DSL,1
CUST0276,67,35.0,70.48,Premium,Credit Card,Month-to-month,No,Fiber,1
CUST0277,48,34.0,110.96,Standard,Electronic Check,Two year,No,None,1
CUST0278,39,57.0,78.71,Standard,Credit Card,One year,No,DSL,1
CUST0279,20,5.0,105.03,Basic,Credit Card,Month-to-month,No,Fiber,1
CUST0280,65,6.0,54.06,Basic,Credit Card,One year,No,DSL,0
CUST0281,69,20.0,69.88,Premium,Bank Transfer,Two year,No,Fiber,1
CUST0282,43,36.0,73.14,Basic,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0283,47,49.0,30.5,Basic,Credit Card,Month-to-month,Yes,Fiber,0
CUST0284,61,36.0,59.86,Basic,Bank Transfer,Month-to-month,No,Fiber,1
CUST0285,58,32.0,111.73,Basic,Bank Transfer,Month-to-month,Yes,None,1
CUST0286,25,68.0,83.08,Premium,Electronic Check,One year,Yes,None,1
CUST0287,56,12.0,37.75,Standard,Credit Card,Two year,Yes,Fiber,0
CUST0288,71,42.0,53.89,Premium,Electronic Check,Month-to-month,No,Fiber,1
CUST0289,61,40.0,39.16,Basic,Mailed Check,One year,Yes,Fiber,1
CUST0290,45,35.0,22.48,Standard,Bank Transfer,Month-to-month,No,DSL,1
CUST0291,48,59.0,112.75,Standard,Electronic Check,One year,No,None,1
CUST0292,33,20.0,64.82,Standard,Credit Card,One year,No,DSL,1
CUST0293,56,69.0,50.75,Premium,Bank Transfer,Month-to-month,Yes,None,1
CUST0294,32,24.0,79.85,Premium,Electronic Check,Month-to-month,No,DSL,1
CUST0295,37,40.0,20.73,Premium,Mailed Check,One year,No,DSL,1
CUST0296,33,38.0,47.8,Basic,Credit Card,Two year,No,None,1
CUST0297,37,62.0,90.3,Basic,Electronic Check,Month-to-month,No,None,1
CUST0298,39,32.0,83.38,Standard,Credit Card,Month-to-month,Yes,None,1
CUST0299,22,21.0,118.18,Basic,Electronic Check,Month-to-month,No,None,1
CUST0300,59,2.0,82.04,Standard,Electronic Check,One year,Yes,Fiber,1
CUST0301,43,27.0,67.75,Standard,Electronic Check,One year,No,DSL,1
CUST0302,73,60.0,96.14,Standard,Electronic Check,One year,No,DSL,1
CUST0303,28,1.0,110.33,Premium,Bank Transfer,One year,Yes,Fiber,1
CUST0304,56,65.0,92.07,Standard,Electronic Check,Two year,No,DSL,1
CUST0305,28,40.0,116.32,Basic,Electronic Check,Two year,Yes,None,1
CUST0306,49,11.0,98.2,Basic,Electronic Check,Month-to-month,No,DSL,1
CUST0307,46,22.0,106.68,Standard,Bank Transfer,One year,No,DSL,1
CUST0308,44,40.0,31.41,Standard,Credit Card,Month-to-month,Yes,DSL,1
CUST0309,55,23.0,93.24,Basic,Credit Card,Month-to-month,Yes,DSL,1
CUST0310,66,8.0,64.01,Standard,Bank Transfer,Two year,No,DSL,1
CUST0311,36,48.0,75.31,Premium,Bank Transfer,One year,Yes,Fiber,1
CUST0312,67,49.0,85.41,,Credit Card,Two year,No,DSL,1
CUST0313,28,9.0,116.98,Standard,Electronic Check,Month-to-month,No,Fiber,1
CUST0314,34,21.0,118.46,Standard,Bank Transfer,Month-to-month,No,None,1
CUST0315,36,18.0,48.82,Basic,Electronic Check,Month-to-month,Yes,Fiber,1
CUST0316,73,48.0,93.38,Standard,Credit Card,Month-to-month,No,Fiber,1
CUST0317,24,53.0,95.0,Basic,Electronic Check,Month-to-month,No,Fiber,1
CUST0318,40,53.0,54.65,Standard,Credit Card,Month-to-month,Yes,DSL,1
CUST0319,42,68.0,32.39,Standard,Credit Card,Month-to-month,Yes,DSL,1
CUST0320,64,56.0,24.09,Basic,Electronic Check,Two year,Yes,None,0
CUST0321,46,24.0,97.73,Basic,Mailed Check,Month-to-month,No,Fiber,1
CUST0322,74,8.0,68.97,Basic,Credit Card,Month-to-month,No,DSL,1
CUST0323,60,45.0,118.55,Premium,Credit Card,One year,No,Fiber,1
CUST0324,58,66.0,66.5,Standard,Electronic Check,Month-to-month,No,None,0
CUST0325,61,71.0,117.79,Basic,Electronic Check,Two year,Yes,Fiber,0
CUST0326,27,17.0,61.16,Premium,Bank Transfer,One year,Yes,Fiber,1
CUST0327,44,18.0,99.37,Standard,Credit Card,Month-to-month,Yes,None,1
CUST0328,51,3.0,28.48,Standard,Credit Card,One year,No,Fiber,1
CUST0329,30,11.0,75.55,Premium,Mailed Check,One year,No,Fiber,1
CUST0330,24,40.0,100.21,Basic,Credit Card,One year,No,DSL,1
CUST0331,25,40.0,112.47,Basic,Credit Card,Two year,No,DSL,1
CUST0332,63,27.0,102.26,Standard,Mailed Check,One year,Yes,None,1
CUST0333,56,23.0,23.7,Basic,Credit Card,One year,Yes,Fiber,1
CUST0334,34,60.0,57.27,Standard,Bank Transfer,Month-to-month,Yes,Fiber,1
CUST0335,60,34.0,24.87,Basic,Bank Transfer,One year,No,Fiber,1
CUST0336,58,59.0,30.93,Basic,Bank Transfer,Two year,No,DSL,0
CUST0337,65,70.0,87.53,Basic,Bank Transfer,One year,No,None,0
CUST0338,70,23.0,91.33,Standard,Credit Card,One year,Yes,DSL,0
